date,ticker,price
6/29/15,dis,110.874993
6/30/15,dis,111.944018
07/01/2015,dis,113.571683
07/02/2015,dis,113.413852
07/06/2015,dis,114.133967
07/07/2015,dis,115.515019
07/08/2015,dis,113.630876
07/09/2015,dis,114.035322
07/10/2015,dis,114.863957
7/13/15,dis,116.452165
7/14/15,dis,116.254868
7/15/15,dis,116.698782
7/16/15,dis,117.458356
7/17/15,dis,117.251199
7/20/15,dis,117.961455
7/21/15,dis,117.695106
7/22/15,dis,117.714839
7/23/15,dis,117.192014
7/24/15,dis,117.300526
7/27/15,dis,116.649455
7/28/15,dis,116.856612
7/29/15,dis,118.217931
7/30/15,dis,118.405361
7/31/15,dis,118.375769
08/03/2015,dis,119.480612
08/04/2015,dis,120.042896
08/05/2015,dis,109.033946
08/06/2015,dis,107.08075
08/07/2015,dis,107.869918
08/10/2015,dis,109.497586
08/11/2015,dis,106.538192
08/12/2015,dis,105.54186
8/13/15,dis,106.064685
8/14/15,dis,105.709565
8/17/15,dis,107.573983
8/18/15,dis,105.492542
8/19/15,dis,105.009168
8/20/15,dis,98.6662
8/21/15,dis,97.502171
8/24/15,dis,94.069278
8/25/15,dis,94.592103
8/26/15,dis,97.886899
8/27/15,dis,100.787101
8/28/15,dis,101.09291
8/31/15,dis,100.501025
09/01/2015,dis,98.163108
09/02/2015,dis,100.510892
09/03/2015,dis,100.609537
09/04/2015,dis,99.603346
09/08/2015,dis,102.6022
09/09/2015,dis,100.530625
09/10/2015,dis,101.211281
09/11/2015,dis,103.065839
9/14/15,dis,102.414769
9/15/15,dis,102.030048
9/16/15,dis,102.552873
9/17/15,dis,102.789623
9/18/15,dis,101.44803
9/21/15,dis,102.010322
9/22/15,dis,101.102769
9/23/15,dis,100.195223
9/24/15,dis,99.258085
9/25/15,dis,98.942416
9/28/15,dis,97.15691
9/29/15,dis,98.074323
9/30/15,dis,100.816693
10/01/2015,dis,101.280333
10/02/2015,dis,101.605868
10/05/2015,dis,102.444362
10/06/2015,dis,102.365443
10/07/2015,dis,101.990589
10/08/2015,dis,103.194077
10/09/2015,dis,104.131215
10/12/2015,dis,104.910523
10/13/15,dis,105.147273
10/14/15,dis,104.29892
10/15/15,dis,106.42968
10/16/15,dis,106.774941
10/19/15,dis,107.988296
10/20/15,dis,108.353283
10/21/15,dis,108.599899
10/22/15,dis,111.717132
10/23/15,dis,111.559294
10/26/15,dis,111.983474
10/27/15,dis,112.23009
10/28/15,dis,112.792375
10/29/15,dis,113.482904
10/30/15,dis,112.200497
11/02/2015,dis,113.482904
11/03/2015,dis,113.976137
11/04/2015,dis,111.717132
11/05/2015,dis,111.470515
11/06/2015,dis,114.104375
11/09/2015,dis,114.844223
11/10/2015,dis,115.830688
11/11/2015,dis,114.942868
11/12/2015,dis,114.637066
11/13/15,dis,113.285607
11/16/15,dis,114.350991
11/17/15,dis,114.558147
11/18/15,dis,116.540944
11/19/15,dis,117.103228
11/20/15,dis,118.444821
11/23/15,dis,117.803617
11/24/15,dis,116.353513
11/25/15,dis,117.063769
11/27/15,dis,113.571683
11/30/15,dis,111.934155
12/01/2015,dis,113.828166
12/02/2015,dis,112.45698
12/03/2015,dis,110.375539
12/04/2015,dis,112.69373
12/07/2015,dis,112.289283
12/08/2015,dis,110.957557
12/09/2015,dis,109.961226
12/10/2015,dis,109.961223
12/11/2015,dis,107.260838
12/14/15,dis,108.561388
12/15/15,dis,111.351128
12/16/15,dis,112.96937
12/17/15,dis,111.202208
12/18/15,dis,106.943146
12/21/15,dis,105.82129
